V_L,V_R,velocity,acc,omega,alpha
0.641200,2.798200,0.274400,-12.881000,2.377138,51.303953
2.378000,2.784000,0.326700,13.258000,4.656538,17.383479
2.762000,2.762000,0.666500,-12.504000,4.509931,180.632851
2.754200,2.754200,0.679600,13.258000,3.658210,-215.818688
2.764800,2.764800,0.836400,-25.385000,2.960078,2.975786
2.757800,2.757800,1.097800,0.377000,0.699877,124.468155
0.000000,-0.883200,-0.013000,0.000000,-3.478441,1.221730
-0.470600,-1.706400,-0.039200,13.258000,-3.300418,-14.809119
-0.470400,-1.705400,0.000000,0.000000,-2.689552,97.930424
-2.779600,-2.779600,-0.274400,-13.635000,-3.708825,58.826322
-2.410600,-2.410600,-0.405100,25.762000,-1.848304,-38.292524
-2.764800,-2.764800,-0.588100,-0.377000,-1.799434,143.588237
-2.762000,-2.762000,-0.810300,25.385000,-1.336922,139.530347
-2.764800,-2.764800,-0.875600,0.000000,-0.993092,-81.550509
1.061200,0.000000,-0.339800,25.762000,-1.368338,-40.945424
2.796400,1.106800,-0.143700,-26.139000,-4.253367,-150.936074
2.765600,2.765600,0.078400,0.000000,-5.516986,144.330002
2.754200,2.754200,0.392000,13.258000,-3.588397,-17.025687
2.751600,2.751600,0.914800,26.893000,-2.635447,-101.918502
2.761200,2.761200,0.810300,-12.127000,-2.617994,188.417019
2.761200,2.761200,0.927900,-12.504000,-0.616101,205.320533
2.763800,2.763800,1.150100,-12.504000,-0.008727,103.192592
2.763000,2.763000,1.058600,14.012000,1.569051,262.654599
0.000000,2.782400,1.045500,1.131000,4.103269,-235.575816
0.000000,0.585600,1.058600,1.131000,4.972443,-71.811572
-0.529200,-0.411600,0.823300,26.893000,0.265290,8.717920
-1.759200,-1.817800,0.692600,13.635000,0.249582,-48.546333
-2.764800,-2.764800,-0.392000,0.000000,1.087340,-11.431907
-2.752400,-2.752400,-0.013000,13.258000,1.310742,79.421208
-2.746200,-2.746200,-0.130600,26.139000,0.595157,-30.674162
-2.741800,-2.741800,-0.339800,25.762000,-0.333358,1.099557
-2.752400,-2.752400,-0.575000,-13.635000,-0.722566,84.543749
-2.752400,-2.752400,-0.731800,12.504000,-0.842994,-256.301600
-2.750600,-2.750600,-1.019400,-26.894000,-0.478220,-285.343879
-2.763000,0.000000,-1.215400,12.504000,-0.219911,-94.605572
-2.756000,-2.756000,-1.163100,-1.131000,-0.294961,160.334672
0.000000,-2.782400,-1.411500,25.008000,-2.609267,-31.773719
0.000000,2.781400,-0.601100,12.504000,0.623083,-151.337499
2.769200,2.769200,0.130600,0.000000,0.923279,233.193441
2.748000,2.748000,0.026100,26.139000,-0.287979,40.369466
2.748000,2.748000,0.156800,13.258000,0.286234,-8.918632
